,City,Cuisines,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time
1366,Mumbai,"Italian, Lebanese, North Indian",150,50,3.2,15,7,30 
1367,Bangalore,Street Food,50,50,3.7,39,8,30 
1368,Bangalore,"South Indian, Chinese",100,50,3.5,26,12,30 
1369,Bangalore,"Fast Food, Pizza, Chinese",100,50,-,-,-,30 
1370,Noida,"North Indian, Chinese",200,50,2.7,134,43,65 
1371,Mumbai,"North Indian, South Indian, Chinese",200,50,3.8,431,108,30 
1372,Gurgaon,"North Indian, Rolls",250,99,3.9,250,89,65 
1373,Noida,South Indian,100,50,3.1,5,-,30 
1374,Noida,Chinese,150,50,3.3,17,6,30 
1375,Delhi,"North Indian, Chinese",200,50,NEW,-,-,30 
1376,Mumbai,"Seafood, Rolls, BBQ",200,50,3.4,27,9,45 
1377,Noida,"Street Food, Beverages",150,50,NEW,-,-,30 
1378,Delhi,"Bakery, Cafe, Fast Food",400,50,4.2,221,126,30 
1379,Delhi,Mughlai,150,50,3.6,52,8,30 
1380,Noida,South Indian,250,50,4.1,1094,574,45 
1381,Delhi,"Wraps, Healthy Food, Sandwich, Salad",150,50,4.1,937,278,45 
1382,Bangalore,"North Indian, Street Food",100,50,3.5,19,7,30 
1383,Noida,"North Indian, Chinese, Fast Food",200,50,3.6,27,19,30 
1384,Noida,North Indian,200,50,3.7,186,78,45 
1385,Bangalore,"Bengali, North Indian, Chinese",100,50,3.4,13,8,30 
1386,Pune,Healthy Food,200,50,-,-,-,30 
1387,Pune,Momos,100,50,4.4,443,177,30 
1388,Noida,"Chinese, Mughlai, North Indian",350,99,3.3,35,18,65 
1389,Mumbai,"Seafood, North Indian",250,50,3.8,90,40,45 
1390,Pune,Desserts,100,50,-,-,-,30 
1391,Pune,"North Indian, Street Food",200,99,3.8,582,256,45 
1392,Gurgaon,North Indian,150,50,3.3,10,5,30 
1393,Delhi,North Indian,150,50,3.5,304,113,45 
1394,Pune,"North Indian, South Indian, Chinese",250,50,3.7,92,62,30 
1395,Bangalore,"Cafe, Fast Food, Chinese",250,50,4.0,114,71,30 
1396,Gurgaon,"Fast Food, Beverages",250,99,4.4,662,410,45 
1397,Bangalore,"Kerala, Chinese",150,50,3.4,11,5,30 
1398,Noida,"North Indian, Mughlai",250,50,3.5,12,9,30 
1399,Noida,"North Indian, Chinese",200,99,3.0,125,24,65 
1400,Bangalore,"Beverages, Rolls, Sandwich",100,50,NEW,-,-,30 
1401,Pune,"North Indian, Seafood, Chinese",250,50,3.1,35,7,30 
1402,Delhi,"Cafe, Bakery, Fast Food",200,50,3.8,978,360,65 
1403,Noida,Bakery,150,50,3.5,59,30,30 
1404,Noida,"Pizza, Italian",200,50,3.7,27,14,30 
1405,Noida,Rolls,150,50,3.9,20,16,30 
1406,Pune,"Beverages, Fast Food",200,50,3.5,16,9,30 
1407,Bangalore,"Biryani, North Indian, Chinese",250,50,3.4,11,4,30 
1408,Bangalore,Tibetan,150,50,3.1,6,2,30 
1409,Mumbai,"Fast Food, Street Food",100,50,3.3,24,10,45 
1410,Noida,Chinese,100,50,3.3,11,1,30 
1411,Gurgaon,"North Indian, Continental, Healthy Food",200,50,-,-,-,30 
1412,Bangalore,"South Indian, North Indian, Chinese",300,50,4.1,720,405,30 
1413,Bangalore,"North Indian, South Indian, Chinese",100,50,3.0,45,24,45 
1414,Gurgaon,"North Indian, Fast Food",200,50,NEW,-,-,30 
1415,Noida,"North Indian, Chinese",200,50,NEW,-,-,30 
1416,Mumbai,Fast Food,150,50,3.5,39,19,45 
1417,Bangalore,Biryani,200,50,2.9,125,48,30 
1418,Delhi,"Biryani, Beverages",150,50,NEW,-,-,30 
1419,Delhi,"Mithai, Street Food, North Indian, South Indian, Bakery, Chinese, Fast Food",250,50,4.1,391,83,30 
1420,Bangalore,North Indian,150,50,3.8,17,12,30 
1421,Pune,"Biryani, North Indian",200,50,3.8,61,33,30 
1422,Bangalore,"Biryani, Chinese, North Indian",300,50,3.7,171,61,30 
1423,Gurgaon,"Fast Food, Chinese, North Indian",200,50,NEW,-,-,30 
1424,Delhi,North Indian,100,50,-,-,-,30 
1425,Noida,North Indian,150,50,-,-,-,30 
1426,Gurgaon,"Healthy Food, Sandwich, Beverages",200,50,3.8,56,19,65 
1427,Bangalore,"North Indian, Chinese",300,50,3.4,9,9,30 
1428,Pune,"Italian, Continental, Chinese, Mexican, Fast Food, Street Food, Desserts",300,50,4.7,3975,2359,65 
1429,Noida,Arabian,100,50,3.5,53,19,30 
1430,Pune,"Mexican, Italian, Modern Indian",200,50,3.9,90,64,65 
1431,Hyderabad,"Street Food, South Indian",50,0,4.2,765,143,30 
1432,Mumbai,"Chinese, North Indian",150,50,3.7,53,18,30 
1433,Noida,"North Indian, Chinese",300,50,2.8,149,49,45 
1434,Mumbai,"Fast Food, Pizza",150,50,4.1,55,34,30 
1435,Mumbai,South Indian,100,50,3.3,12,2,30 
1436,Delhi,"Healthy Food, North Indian, Biryani, Continental, Beverages",200,50,3.4,142,42,30 
1437,Bangalore,"Andhra, South Indian, North Indian, Biryani, Chinese, Beverages",400,99,3.8,444,199,45 
1438,Pune,"Mughlai, North Indian, Continental, Modern Indian, Street Food",400,50,4.3,296,187,30 
1439,Delhi,"North Indian, Mughlai, Chinese, Continental",150,50,3.9,43,39,30 
1440,Bangalore,"Kerala, Biryani",100,50,3.6,13,5,30 
1441,Pune,"Cafe, Fast Food",150,50,2.8,14,10,30 
1442,Bangalore,"Burger, Fast Food",200,50,4.0,714,220,45 
1443,Bangalore,"Street Food, Maharashtrian",150,50,4.0,357,152,45 
1444,Delhi,"Italian, Mexican, Continental, North Indian, Finger Food",750,50,4.1,1504,938,45 
1445,Kolkata,"Biryani, North Indian, Rolls",250,50,2.9,50,14,65 
1446,Pune,Fast Food,150,50,-,-,-,30 
1447,Bangalore,"Italian, Mexican",200,50,3.9,65,44,65 
1448,Pune,"Desserts, Fast Food",100,50,3.3,14,7,30 
1449,Bangalore,"North Indian, Chinese, South Indian",350,50,3.9,316,196,30 
1450,Bangalore,"Andhra, Biryani",150,50,3.7,71,17,30 
1451,Pune,"North Indian, Chinese, Street Food",250,50,3.2,16,7,45 
1452,Bangalore,"North Indian, Fast Food",150,50,3.0,4,1,30 
1453,Noida,South Indian,150,50,-,-,-,30 
1454,Bangalore,"Mithai, Street Food",150,50,3.7,29,11,45 
1455,Delhi,"Rolls, Kebab, Mughlai, North Indian",300,50,3.5,31,14,30 
1456,Noida,Fast Food,200,50,3.6,44,11,30 
1457,Noida,"North Indian, Fast Food, Biryani, Rolls, Wraps",250,50,4.0,206,68,65 
1458,Delhi,"North Indian, Chinese, Italian",400,50,3.8,233,117,45 
1459,Delhi,"North Indian, Mughlai, Kebab",950,50,4.1,2340,1133,45 
1460,Bangalore,"Mithai, Street Food",150,50,4.0,124,39,45 
1461,Pune,"North Indian, Street Food",100,50,3.4,14,10,30 
1462,Pune,"Cafe, Desserts, French, Bakery, European",250,50,4.6,1502,819,30 
1463,Noida,South Indian,150,50,3.5,25,13,30 
1464,Pune,"Salad, Continental, Italian, Mexican, Desserts, Beverages",500,50,4.4,538,314,45 
1465,Delhi,Fast Food,200,50,-,-,-,30 
1466,Pune,"North Indian, Biryani",150,50,3.5,71,14,30 
1467,Delhi,"North Indian, Chinese",200,50,3.2,33,11,45 
1468,Gurgaon,"North Indian, Biryani, Chinese",150,50,3.3,64,35,30 
1469,Bangalore,"Biryani, North Indian",350,50,4.1,2264,1211,45 
1470,Delhi,"Pizza, Fast Food",200,50,3.6,43,14,30 
1471,Mumbai,"North Indian, Chinese, Street Food",200,50,3.6,13,3,30 
1472,Delhi,"Rolls, Fast Food",150,50,3.7,373,168,65 
1473,Gurgaon,Fast Food,200,50,-,-,-,30 
1474,Pune,Mithai,200,50,3.3,12,5,30 
1475,Mumbai,"Chinese, Mughlai",150,50,3.7,59,12,45 
1476,Delhi,"North Indian, Mughlai",300,50,4.3,570,224,65 
1477,Pune,North Indian,150,50,-,-,-,30 
1478,Noida,Pizza,300,99,3.8,45,28,45 
1479,Kolkata,"Sandwich, Chinese, Fast Food, Beverages",150,50,3.1,7,2,30 
1480,Gurgaon,North Indian,150,50,3.0,4,-,30 
1481,Noida,Healthy Food,250,0,3.9,66,23,30 
1482,Mumbai,"Burger, Fast Food",200,50,3.5,406,111,30 
1483,Delhi,"South Indian, Chinese",150,50,3.8,143,31,30 
1484,Noida,"North Indian, Biryani, Rolls",200,50,3.6,54,27,30 
1485,Gurgaon,"Chinese, South Indian, Fast Food, North Indian",200,99,3.6,56,8,30 
1486,Noida,"North Indian, Chinese, Mughlai",300,50,3.6,179,95,45 
1487,Noida,"Mithai, North Indian, South Indian, Street Food, Chinese",150,99,3.9,206,55,45 
1488,Delhi,North Indian,100,50,3.3,12,1,30 
1489,Delhi,Pizza,200,50,3.2,7,-,30 
1490,Delhi,"Beverages, Fast Food",100,50,3.3,7,5,30 
1491,Mumbai,"Fast Food, Healthy Food, Sandwich, Salad",200,50,3.1,254,91,30 
1492,Bangalore,"North Indian, Chinese",100,50,3.5,20,11,30 
1493,Delhi,"North Indian, Mughlai, Chinese, Momos",200,50,3.6,26,21,30 
1494,Kolkata,"Fast Food, Street Food, North Indian",150,50,3.9,251,105,65 
1495,Noida,"Mithai, North Indian, Fast Food, Desserts, South Indian, Street Food, Bakery, Chinese",250,50,3.1,6,6,30 
1496,Delhi,"Fast Food, Chinese, North Indian",150,50,3.2,9,1,30 
1497,Delhi,"Chinese, North Indian",200,50,3.7,95,51,30 
1498,Delhi,Fast Food,100,50,3.2,16,4,30 
1499,Bangalore,"Asian, Continental, European",350,99,3.8,41,17,45 
1500,Mumbai,"North Indian, Mughlai, Chinese",200,50,3.7,277,143,45 
1501,Noida,"North Indian, Chinese, Kebab, Mughlai",800,50,4.7,1112,972,45 
1502,Mumbai,"Cafe, Desserts, Sandwich",350,50,4.0,773,426,65 
1503,Pune,"Continental, North Indian, Italian",750,50,4.0,297,205,30 
1504,Mumbai,"Chinese, Asian, Momos",150,99,3.7,429,257,45 
1505,Pune,"Bakery, Desserts",250,0,4.4,557,358,45 
1506,Pune,"North Indian, Sandwich",200,50,3.4,15,2,30 
1507,Kolkata,North Indian,200,50,3.3,98,21,65 
1508,Bangalore,South Indian,100,50,4.2,726,110,45 
1509,Delhi,North Indian,150,50,3.5,-,-,30 
1510,Kolkata,"Desserts, Bakery, Fast Food",100,50,3.5,73,14,45 
1511,Pune,"Biryani, North Indian, Rolls, Kashmiri, Mughlai",300,50,3.9,195,117,45 
1512,Noida,"Sandwich, Fast Food, Beverages, Mexican, Desserts",200,50,3.9,864,362,65 
1513,Noida,Paan,50,50,3.6,36,2,30 
1514,Kolkata,"Fast Food, North Indian, Mishti",100,50,4.1,272,55,45 
1515,Hyderabad,"South Indian, North Indian, Biryani",400,50,3.9,157,68,30 
1516,Gurgaon,North Indian,100,50,NEW,-,-,30 
1517,Gurgaon,North Indian,200,99,3.8,146,31,45 
1518,Gurgaon,"North Indian, Chinese, Continental, Italian",100,50,NEW,-,-,30 
1519,Noida,Bakery,150,50,NEW,-,-,30 
1520,Bangalore,"Cafe, Healthy Food, Salad, Beverages",300,99,4.0,80,47,45 
1521,Bangalore,"Mangalorean, Chinese, North Indian",300,50,3.2,6,1,30 
1522,Gurgaon,"North Indian, Fast Food",400,50,4.2,68,56,30 
1523,Delhi,North Indian,100,50,3.7,266,85,65 
1524,Delhi,North Indian,200,50,-,-,-,30 
1525,Gurgaon,"Chinese, North Indian",100,50,3.2,8,-,30 
1526,Noida,"Bakery, Desserts",200,50,3.7,39,25,30 
1527,Delhi,"Mughlai, North Indian",300,50,3.6,30,12,30 
1528,Bangalore,"Cafe, Fast Food, Beverages",150,50,-,-,-,30 
1529,Pune,"North Indian, Lucknowi",250,50,3.5,28,11,30 
1530,Bangalore,North Indian,200,50,-,-,-,30 
1531,Bangalore,"Biryani, North Indian, Andhra, Chinese",350,50,4.1,2319,892,45 
1532,Noida,North Indian,100,50,NEW,-,-,45 
1533,Kolkata,"Rolls, Sandwich, Fast Food",150,50,3.7,304,127,65 
1534,Noida,North Indian,200,99,3.5,47,9,30 
1535,Bangalore,"South Indian, North Indian",300,50,3.6,34,7,30 
1536,Bangalore,"South Indian, North Indian, Chinese",150,50,3.5,11,5,30 
1537,Mumbai,Healthy Food,200,50,3.1,8,6,30 
1538,Hyderabad,South Indian,100,50,3.5,237,2,45 
1539,Noida,"North Indian, Chinese, Continental",800,99,4.0,365,208,45 
1540,Hyderabad,South Indian,100,50,3.8,203,67,30 
1541,Kolkata,North Indian,100,50,3.3,27,5,30 
1542,Pune,"North Indian, Biryani, Mughlai",150,50,3.3,14,2,30 
1543,Delhi,"Burger, Fast Food",200,50,4.0,1233,581,65 
1544,Delhi,"European, Mediterranean",850,50,4.1,1261,652,30 
1545,Gurgaon,"Chinese, North Indian",300,99,3.5,106,43,45 
1546,Pune,"North Indian, Chinese",200,99,3.0,8,4,30 
1547,Mumbai,Fast Food,150,50,3.3,12,6,30 
1548,Pune,"North Indian, Street Food, Fast Food, Chinese",200,50,3.1,4,1,45 
1549,Delhi,"North Indian, Mughlai",350,50,2.5,27,10,45 
1550,Bangalore,"North Indian, Fast Food",100,50,4.3,55,29,30 
1551,Delhi,"South Indian, Chinese",150,50,3.7,87,23,65 
1552,Pune,South Indian,100,50,3.4,14,4,30 
1553,Noida,"North Indian, South Indian",150,50,-,-,-,30 
1554,Kolkata,Mishti,50,50,3.7,109,24,65 
1555,Noida,"North Indian, Chinese",200,50,3.1,-,-,30 
1556,Delhi,"Chinese, Thai, Tibetan, Japanese, Momos",350,50,NEW,-,-,30 
1557,Bangalore,"Fast Food, Chinese, Mughlai, Rolls",200,50,3.9,208,86,45 
1558,Mumbai,Rolls,100,50,3.9,171,56,30 
1559,Pune,"Italian, Street Food",250,50,3.3,107,43,45 
1560,Noida,Bakery,150,50,3.2,8,3,30 
1561,Kolkata,"Biryani, North Indian",100,50,-,-,-,45 
1562,Mumbai,Bakery,200,50,3.0,4,1,30 
1563,Mumbai,Desserts,100,50,3.9,73,46,30 
1564,Gurgaon,"Mithai, Fast Food, South Indian",100,50,3.4,11,4,30 
1565,Gurgaon,North Indian,500,50,4.4,272,172,30 
1566,Pune,North Indian,100,50,Opening Soon,-,-,30 
1567,Mumbai,Desserts,50,50,-,-,-,45 
1568,Mumbai,"Desserts, Ice Cream",100,50,4.4,406,241,45 
1569,Delhi,North Indian,250,99,3.5,36,8,65 
1570,Pune,"Continental, North Indian, Seafood, Cafe, Salad, Chinese",650,50,4.1,3860,1962,45 
1571,Pune,Chinese,400,50,4.1,2133,981,45 
1572,Bangalore,"Burger, Fast Food, Beverages, Sandwich, Wraps",200,50,3.9,121,43,45 
1573,Noida,"North Indian, Fast Food, Biryani, Rolls, Wraps",250,50,4.0,206,68,65 
1574,Delhi,"North Indian, Chinese, Continental, Fast Food, Pizza",250,50,-,-,-,30 
1575,Bangalore,South Indian,100,50,-,-,-,30 
1576,Mumbai,"Fast Food, Pizza",150,50,NEW,-,-,30 
1577,Noida,"North Indian, Chinese, South Indian",200,50,3.0,5,2,30 
1578,Noida,"Pizza, Fast Food",100,50,3.1,7,3,30 
1579,Delhi,"Bihari, North Indian",100,50,3.0,4,-,30 
1580,Bangalore,"Fast Food, Beverages",50,99,3.4,15,8,45 
1581,Pune,"North Indian, Chinese",200,50,3.7,324,125,30 
1582,Pune,"Chinese, North Indian, Continental, Beverages",300,50,4.0,644,325,30 
1583,Bangalore,South Indian,250,50,3.6,19,4,30 
1584,Gurgaon,"Biryani, North Indian",150,50,3.6,51,11,30 
1585,Gurgaon,Mughlai,200,50,-,-,-,30 
1586,Bangalore,"Continental, Asian",600,50,4.0,305,210,30 
1587,Mumbai,"North Indian, Chinese, Mughlai",250,99,4.0,551,310,45 
1588,Mumbai,"South Indian, Fast Food, North Indian, Chinese, Biryani",300,50,3.6,294,58,45 
1589,Noida,"Thai, Salad, Seafood",400,99,4.1,88,43,45 
1590,Noida,"North Indian, Mughlai, Biryani",400,50,4.3,217,145,30 
1591,Noida,"North Indian, Chinese",200,50,3.4,96,61,45 
1592,Delhi,North Indian,150,50,3.5,-,-,30 
1593,Gurgaon,"North Indian, South Indian, Chinese, Fast Food, Mithai",200,50,3.9,224,147,30 
1594,Mumbai,"North Indian, South Indian, Fast Food, Chinese",400,50,4.2,1256,925,30 
1595,Gurgaon,"Mithai, Street Food",100,50,4.0,205,49,30 
1596,Mumbai,Ice Cream,100,50,NEW,-,-,30 
1597,Gurgaon,Paan,100,50,3.5,21,12,30 
1598,Pune,"Chinese, North Indian, Fast Food",200,50,3.4,42,14,45 
1599,Bangalore,"Arabian, Chinese, Continental",200,50,NEW,-,-,30 
1600,Kolkata,"South Indian, Beverages",150,50,3.7,108,80,30 
1601,Bangalore,"North Indian, Chinese, Seafood",200,50,3.7,30,10,30 
1602,Noida,"Bakery, Desserts",150,50,4.3,196,109,45 
1603,Delhi,"Fast Food, Beverages",250,50,4.3,913,751,30 
1604,Mumbai,Biryani,150,50,3.7,279,90,65 
1605,Pune,"Biryani, North Indian, Rolls, Kashmiri, Mughlai",300,50,3.9,195,117,45 
1606,Bangalore,"North Indian, Seafood, Biryani",250,50,3.5,893,196,30 
1607,Bangalore,"Chinese, Momos, Seafood",250,50,4.0,1016,437,30 
1608,Kolkata,"North Indian, Chinese",100,50,-,-,-,30 
1609,Delhi,North Indian,100,50,4.0,81,42,30 
1610,Noida,"North Indian, Mughlai, Chinese",250,50,NEW,-,-,30 
1611,Noida,"Portuguese, Wraps, Burger, Salad",500,50,4.1,835,593,45 
1612,Bangalore,"North Indian, Seafood, Biryani, Kerala",400,50,3.9,276,59,45 
1613,Delhi,"Ice Cream, Fast Food",150,50,3.5,24,12,30 
1614,Bangalore,"Pizza, Fast Food",200,50,3.9,108,60,30 
1615,Delhi,North Indian,250,50,3.8,89,54,30 
1616,Mumbai,Ice Cream,100,50,4.0,84,40,30 
1617,Bangalore,"Bakery, Desserts",150,50,3.4,5,1,30 
1618,Delhi,Pizza,350,50,NEW,-,-,30 
1619,Gurgaon,"Bakery, Desserts",150,50,3.7,45,30,45 
1620,Pune,"Momos, Tibetan, Beverages",100,50,4.5,647,251,30 
1621,Hyderabad,South Indian,150,99,4.1,1008,245,45 
1622,Delhi,North Indian,200,50,3.3,12,-,30 
1623,Pune,Desserts,100,50,NEW,-,-,30 
1624,Delhi,"North Indian, Chinese, Fast Food",150,50,2.9,83,35,45 
1625,Kolkata,"Desserts, Bakery, Beverages",150,50,3.9,77,37,30 
1626,Delhi,"North Indian, Rolls",150,50,3.8,229,64,45 
1627,Bangalore,"North Indian, Charcoal Chicken, Fast Food, Mughlai, Biryani, Kebab",200,50,3.8,25,13,30 
1628,Bangalore,Cafe,300,50,2.9,61,26,65 
1629,Delhi,Ice Cream,100,50,3.9,166,79,45 
1630,Noida,Bakery,100,50,4.1,205,116,45 
1631,Bangalore,"Biryani, North Indian, Sandwich, Juices",150,50,3.2,15,7,30 
1632,Kolkata,"Bengali, Chinese, North Indian",150,50,3.1,5,-,30 
1633,Pune,"Healthy Food, Salad",350,50,4.3,523,206,65 
1634,Noida,"Cafe, Italian, Continental, Bakery",400,50,4.3,343,292,45 
1635,Gurgaon,"North Indian, Chinese",250,50,4.0,503,238,45 
1636,Mumbai,"North Indian, Chinese",200,50,3.2,20,8,30 
1637,Mumbai,Sandwich,100,50,3.5,44,4,45 
1638,Bangalore,"Chinese, North Indian, South Indian, Fast Food",200,50,3.2,4,-,30 
1639,Kolkata,"North Indian, South Indian",100,50,3.4,243,73,65 
1640,Mumbai,"North Indian, South Indian",150,50,3.9,190,27,45 
1641,Noida,North Indian,150,50,3.7,110,62,30 
1642,Mumbai,Chinese,100,50,-,-,-,30 
1643,Bangalore,"Biryani, Chinese, North Indian",100,50,3.7,28,7,30 
1644,Pune,"North Indian, South Indian, Street Food",100,50,3.2,11,2,30 
1645,Kolkata,"North Indian, Chinese",100,50,3.7,564,72,45 
1646,Delhi,Beverages,100,50,3.4,14,4,30 
1647,Bangalore,"North Indian, Chinese, Mughlai, Biryani, Beverages",250,50,3.5,37,15,30 
1648,Noida,"North Indian, Mughlai, Chinese",200,99,3.7,164,84,65 
1649,Noida,North Indian,100,0,2.7,427,225,65 
1650,Bangalore,"North Indian, Chinese, Odia",200,50,3.3,76,29,30 
1651,Bangalore,"South Indian, North Indian, Chinese",150,50,4.0,929,160,45 
1652,Mumbai,Fast Food,100,50,3.3,7,5,30 
1653,Mumbai,"Fast Food, Beverages",150,50,3.4,19,3,30 
1654,Noida,"Chinese, Fast Food, North Indian, Continental",300,50,NEW,-,-,30 
1655,Noida,"Mithai, Street Food",150,50,3.8,112,19,30 
1656,Pune,"North Indian, Maharashtrian",200,50,3.5,34,21,45 
1657,Mumbai,"Street Food, Fast Food",150,50,3.4,20,16,30 
1658,Delhi,"Wraps, Healthy Food, Sandwich, Salad",150,50,3.5,264,131,65 
1659,Pune,"Biryani, Chinese, North Indian",200,50,2.6,61,32,65 
1660,Kolkata,Beverages,50,50,-,-,-,30 
1661,Delhi,"Mithai, Chinese, South Indian",100,50,2.9,24,4,30 
1662,Noida,"Chinese, Fast Food",150,50,3.5,187,65,30 
1663,Noida,"Biryani, North Indian",350,50,3.4,45,20,30 
1664,Noida,North Indian,100,50,3.6,16,4,30 
1665,Delhi,"Beverages, Juices",100,50,NEW,-,-,30 
1666,Mumbai,"Italian, Mexican",550,50,4.3,748,387,30 
1667,Pune,"Sandwich, Beverages, Fast Food",200,50,3.2,5,2,30 
1668,Noida,North Indian,200,50,3.2,6,2,30 
1669,Pune,"Seafood, Mughlai, North Indian",250,50,-,-,-,30 
1670,Pune,North Indian,200,50,3.6,26,7,30 
1671,Gurgaon,North Indian,400,50,3.8,36,23,65 
1672,Bangalore,"Fast Food, Street Food",100,50,3.3,6,1,30 
1673,Delhi,"Mithai, Street Food",100,50,3.7,44,10,30 
1674,Gurgaon,"Biryani, North Indian, Mughlai",450,99,4.0,1104,681,65 
1675,Delhi,"North Indian, Mughlai",200,50,3.0,4,1,30 
1676,Bangalore,Desserts,150,50,3.5,12,9,45 
1677,Noida,"North Indian, Fast Food",150,50,2.7,31,15,45 
1678,Noida,North Indian,100,50,3.5,66,15,45 
1679,Kolkata,"Cafe, Italian, Chinese, Fast Food, North Indian, Beverages",500,50,4.1,1801,965,30 
1680,Mumbai,"North Indian, Chinese, South Indian",200,99,3.8,219,97,45 
1681,Delhi,"Wraps, Healthy Food, Sandwich, Salad",150,0,3.8,428,133,65 
1682,Delhi,"Ice Cream, Beverages, Fast Food",250,50,3.5,52,10,30 
1683,Mumbai,"Salad, Beverages, Healthy Food, Desserts",200,50,3.5,36,24,65 
1684,Pune,"European, Italian, Continental, Salad, Beverages",600,50,4.0,646,370,45 
1685,Noida,North Indian,250,50,3.6,217,57,45 
1686,Delhi,"North Indian, Chinese",200,50,2.8,6,1,30 
1687,Pune,"North Indian, Chinese, Street Food",200,50,-,-,-,30 
1688,Noida,"Continental, Thai, Italian, Salad",350,50,3.9,1298,450,65 
1689,Delhi,"South Indian, Chinese",100,50,3.6,67,17,30 
1690,Delhi,"Desserts, Beverages",200,50,-,-,-,30 
1691,Bangalore,"Sandwich, Fast Food, North Indian, Street Food, Maharashtrian, Beverages",150,50,3.6,16,6,30 
1692,Mumbai,North Indian,200,50,3.9,363,163,30 
1693,Noida,"North Indian, Mughlai, Chinese",250,50,3.8,345,154,65 
1694,Delhi,"Pizza, Fast Food",200,50,4.0,123,61,30 
1695,Noida,"Fast Food, Pizza",150,50,2.9,7,3,30 
1696,Noida,"North Indian, Chinese",200,50,3.7,123,62,45 
1697,Bangalore,"Cafe, Desserts",300,50,4.3,716,382,45 
1698,Pune,"Mughlai, North Indian, Biryani, Kebab",350,50,3.8,494,294,45 
1699,Bangalore,"South Indian, North Indian, Chinese",200,50,3.8,551,53,45 
1700,Delhi,"American, Italian, Cafe, Salad",250,50,4.2,943,580,45 
1701,Pune,Kerala,100,50,3.5,42,7,30 
1702,Bangalore,"Beverages, Rolls, Sandwich",100,50,NEW,-,-,30 
1703,Bangalore,"North Indian, Cafe, Fast Food, Beverages",100,50,3.8,433,201,45 
1704,Pune,Fast Food,150,50,3.3,19,6,30 
1705,Noida,North Indian,100,50,3.1,5,-,30 
1706,Bangalore,"Beverages, Juices, Fast Food",100,50,3.9,51,24,30 
1707,Pune,"Chinese, Fast Food, South Indian, North Indian",150,50,-,-,-,45 
1708,Pune,Bakery,200,50,3.9,139,74,30 
1709,Bangalore,"Finger Food, American, Continental, Burger, Pizza",600,50,4.0,635,214,45 
1710,Delhi,"North Indian, Fast Food, Chinese",350,50,4.3,269,173,30 
1711,Delhi,"North Indian, Chinese",100,50,3.3,19,7,30 
1712,Bangalore,"North Indian, Chinese",100,50,3.7,120,55,20 
1713,Pune,"Bar Food, Asian, North Indian, Italian",650,50,4.0,1372,609,30 
1714,Pune,Biryani,150,50,3.2,10,5,30 
1715,Delhi,"Fast Food, Chinese",100,50,3.3,11,1,45 
1716,Noida,"Fast Food, Burger, Chinese, Beverages",150,50,3.3,15,6,30 
1717,Pune,"Cafe, Sushi, Continental, Italian",350,50,4.3,193,90,30 
1718,Pune,"Mithai, North Indian, Chinese, South Indian, Street Food, Italian, Desserts, Beverages",200,50,3.9,155,59,30 
1719,Delhi,North Indian,100,50,3.7,110,18,30 
1720,Noida,North Indian,350,50,3.7,83,46,45 
1721,Bangalore,"North Indian, South Indian, Chinese, Bengali, Odia, Biryani, Beverages",150,50,3.5,45,29,45 
1722,Mumbai,"Chinese, Fast Food",100,50,2.8,9,3,30 
1723,Delhi,"North Indian, Fast Food",100,50,-,-,-,30 
1724,Pune,"Bakery, Desserts",100,50,-,-,-,30 
1725,Delhi,"Fast Food, Chinese",200,50,NEW,-,-,30 
1726,Bangalore,"North Indian, Biryani, Chinese",250,50,3.3,6,-,30 
1727,Delhi,"Italian, Pizza, Salad, Lebanese",500,99,3.9,452,243,45 
1728,Bangalore,"Fast Food, North Indian, Biryani, Rolls, Wraps",200,50,4.0,233,105,65 
1729,Pune,"Mughlai, North Indian, Biryani, Kebab",350,50,3.8,494,294,45 
1730,Delhi,"South Indian, Chinese",100,50,3.5,19,7,30 
1731,Bangalore,"Biryani, Chinese, North Indian",200,50,3.3,4,2,30 
1732,Mumbai,"Chinese, North Indian, Mughlai",200,50,3.7,172,70,45 
1733,Delhi,"Pizza, Fast Food",150,50,-,-,-,30 
1734,Bangalore,"North Indian, Healthy Food, Lucknowi, Awadhi, Biryani",200,50,3.9,28,21,30 
1735,Pune,Fast Food,200,50,3.8,80,35,30 
1736,Noida,"Bakery, Fast Food",150,50,-,-,-,30 
1737,Bangalore,Desserts,100,50,-,-,-,30 
1738,Pune,"Tea, Beverages, Fast Food",100,50,3.7,35,4,30 
1739,Noida,"Chinese, Fast Food, North Indian, Healthy Food",250,0,3.6,66,18,30 
1740,Bangalore,"South Indian, North Indian, Chinese, Street Food",150,50,3.9,94,29,30 
1741,Hyderabad,Mithai,100,50,4.1,551,24,30 
1742,Pune,"American, Beverages, Burger, Cafe, Coffee, Desserts, Fast Food, Pizza",100,50,NEW,-,-,30 
1743,Bangalore,"Cafe, Salad, Italian, American, Bakery, Beverages",400,50,4.5,879,518,45 
1744,Kolkata,Beverages,100,50,4.1,139,70,30 
1745,Noida,"North Indian, Rolls",200,50,4.0,82,53,30 
1746,Mumbai,"Tea, Fast Food",100,50,3.3,12,6,30 
1747,Delhi,"North Indian, Fast Food",200,50,3.4,25,2,30 
1748,Pune,"Finger Food, European, North Indian, Mughlai",800,50,3.8,840,399,45 
1749,Pune,"North Indian, Chinese",400,50,4.0,387,158,45 
